"ID_sample","identifier"
"876","Sample 35"
"877","Sample 24"
"878","Sample 31"
"879","Sample 31"
"880","Sample 11"
"881","Sample 28"
"882","Sample 27"
"883","Sample 29"
"884","Sample 29"
"885","Sample 19"
"886","Sample 48"
"887","Sample 15"
"888","Sample 30"
"889","Sample 11"
"890","Sample 53"
"891","Sample 13"
"892","Sample 46"
"893","Sample 21"
"894","Sample 52"
"895","Sample 15"
"896","Sample 21"
"897","Sample 24"
"898","Sample 147"
"899","Sample 35"
"900","Sample 24"
"901","Sample 31"
"902","Sample 31"
"903","Sample 11"
"904","Sample 28"
"905","Sample 27"
"906","Sample 29"
"907","Sample 29"
"908","Sample 19"
"909","Sample 48"
"910","Sample 15"
"911","Sample 30"
"912","Sample 11"
"913","Sample 53"
"914","Sample 13"
"915","Sample 46"
"916","Sample 21"
"917","Sample 52"
"918","Sample 15"
"919","Sample 21"
"920","Sample 24"
"921","Sample 147"
"922","Sample 35"
"923","Sample 24"
"924","Sample 31"
"925","Sample 31"
"926","Sample 11"
"927","Sample 28"
"928","Sample 27"
"929","Sample 29"
"930","Sample 29"
"931","Sample 19"
"932","Sample 48"
"933","Sample 15"
"934","Sample 30"
"935","Sample 11"
"936","Sample 53"
"937","Sample 13"
"938","Sample 46"
"939","Sample 21"
"940","Sample 52"
"941","Sample 15"
"942","Sample 21"
"943","Sample 24"
"944","Sample 147"
"945","Sample 35"
"946","Sample 24"
"947","Sample 31"
"948","Sample 31"
"949","Sample 11"
"950","Sample 28"
"951","Sample 27"
"952","Sample 29"
"953","Sample 29"
"954","Sample 19"
"955","Sample 48"
"956","Sample 15"
"957","Sample 30"
"958","Sample 11"
"959","Sample 53"
"960","Sample 13"
"961","Sample 46"
"962","Sample 21"
"963","Sample 52"
"964","Sample 15"
"965","Sample 21"
"966","Sample 24"
"967","Sample 147"
"968","Sample 35"
"969","Sample 24"
"970","Sample 31"
"971","Sample 31"
"972","Sample 11"
"973","Sample 28"
"974","Sample 27"
"975","Sample 29"
"976","Sample 29"
"977","Sample 19"
"978","Sample 48"
"979","Sample 15"
"980","Sample 30"
"981","Sample 11"
"982","Sample 53"
"983","Sample 13"
"984","Sample 46"
"985","Sample 21"
"986","Sample 52"
"987","Sample 15"
"988","Sample 21"
"989","Sample 24"
"990","Sample 147"
"991","Sample 35"
"992","Sample 24"
"993","Sample 31"
"994","Sample 31"
"995","Sample 11"
"996","Sample 28"
"997","Sample 27"
"998","Sample 29"
"999","Sample 29"
"1000","Sample 19"
"1001","Sample 48"
"1002","Sample 15"
"1003","Sample 30"
"1004","Sample 11"
"1005","Sample 53"
"1006","Sample 13"
"1007","Sample 46"
"1008","Sample 21"
"1009","Sample 52"
"1010","Sample 15"
"1011","Sample 21"
"1012","Sample 24"
"1013","Sample 147"
"1014","Sample 35"
"1015","Sample 24"
"1016","Sample 31"
"1017","Sample 31"
"1018","Sample 11"
"1019","Sample 28"
"1020","Sample 27"
"1021","Sample 29"
"1022","Sample 29"
"1023","Sample 19"
"1024","Sample 48"
"1025","Sample 15"
"1026","Sample 30"
"1027","Sample 11"
"1028","Sample 53"
"1029","Sample 13"
"1030","Sample 46"
"1031","Sample 21"
"1032","Sample 52"
"1033","Sample 15"
"1034","Sample 21"
"1035","Sample 24"
"1036","Sample 147"
"1037","Sample 35"
"1038","Sample 24"
"1039","Sample 31"
"1040","Sample 31"
"1041","Sample 11"
"1042","Sample 28"
"1043","Sample 27"
"1044","Sample 29"
"1045","Sample 29"
"1046","Sample 19"
"1047","Sample 48"
"1048","Sample 15"
"1049","Sample 30"
"1050","Sample 11"
"1051","Sample 53"
"1052","Sample 13"
"1053","Sample 46"
"1054","Sample 21"
"1055","Sample 52"
"1056","Sample 15"
"1057","Sample 21"
"1058","Sample 24"
"1059","Sample 147"
"1060","Sample 35"
"1061","Sample 24"
"1062","Sample 31"
"1063","Sample 31"
"1064","Sample 11"
"1065","Sample 28"
"1066","Sample 27"
"1067","Sample 29"
"1068","Sample 29"
"1069","Sample 19"
"1070","Sample 48"
"1071","Sample 15"
"1072","Sample 30"
"1073","Sample 11"
"1074","Sample 53"
"1075","Sample 13"
"1076","Sample 46"
"1077","Sample 21"
"1078","Sample 52"
"1079","Sample 15"
"1080","Sample 21"
"1081","Sample 24"
"1082","Sample 147"
"1083","Sample 35"
"1084","Sample 24"
"1085","Sample 31"
"1086","Sample 31"
"1087","Sample 11"
"1088","Sample 28"
"1089","Sample 27"
"1090","Sample 29"
"1091","Sample 29"
"1092","Sample 19"
"1093","Sample 48"
"1094","Sample 15"
"1095","Sample 30"
"1096","Sample 11"
"1097","Sample 53"
"1098","Sample 13"
"1099","Sample 46"
"1100","Sample 21"
"1101","Sample 52"
"1102","Sample 15"
"1103","Sample 21"
"1104","Sample 24"
"1105","Sample 147"
"1106","Sample 35"
"1107","Sample 24"
"1108","Sample 31"
"1109","Sample 31"
"1110","Sample 11"
"1111","Sample 28"
"1112","Sample 27"
"1113","Sample 29"
"1114","Sample 29"
"1115","Sample 19"
"1116","Sample 48"
"1117","Sample 15"
"1118","Sample 30"
"1119","Sample 11"
"1120","Sample 53"
"1121","Sample 13"
"1122","Sample 46"
"1123","Sample 21"
"1124","Sample 52"
"1125","Sample 15"
"1126","Sample 21"
"1127","Sample 24"
"1128","Sample 147"
"1129","Sample 35"
"1130","Sample 24"
"1131","Sample 31"
"1132","Sample 31"
"1133","Sample 11"
"1134","Sample 28"
"1135","Sample 27"
"1136","Sample 29"
"1137","Sample 29"
"1138","Sample 19"
"1139","Sample 48"
"1140","Sample 15"
"1141","Sample 30"
"1142","Sample 11"
"1143","Sample 53"
"1144","Sample 13"
"1145","Sample 46"
"1146","Sample 21"
"1147","Sample 52"
"1148","Sample 15"
"1149","Sample 21"
"1150","Sample 24"
