"subsample","n_total","alpha","xmin","p","n_tail"
"77",94,2.63580647976807,9.129,0.895,33.081
"770",24,3.4243847702654,3.912,0.401,12.607
"771",84,2.35447937758159,4.273,0.416,39.459
"772",30,2.57228106507346,3.508,0.818,17.727
"773",94,2.65204491300346,5.023,0.604,37.269
"774",123,2.47179614954118,5.053,0.706,46.451
"775",93,2.54085396884735,3.24,0.562,43.502
"776",108,2.17465332280148,3.353,0.968,55.772
"777",63,2.9233198883483,4.51,0.741,26.58
"778",10,2.7646775867172,2.428,0.364,7.67389060887513
"779",31,2.03255339845394,1.15,0.08,29.367
"78",123,2.71319191409577,4.413,0.32,47.809
"780",71,2.76371258531164,3.27,0.696,32.328
"781",54,2.65399377098609,3.771,0.874,31.769
"782",139,2.27981638622777,3.045,0.066,70.659
"783",88,2.49306695954408,4.237,0.71,40.053
"784",379,2.43284566892417,5.292,0.088,116.259
"785",78,2.04266062213531,2.809,0.547,46.29
"786",78,3.09116681088141,6.213,0.912,30.912
"787",25,2.95824116287718,4.431,0.306,14.28
"788",92,2.65600829371903,4.54,0.121,41.179
"789",92,2.29033095236315,4.675,0.872,43.711
"79",93,1.86125760392262,2.44,0.049,63.366
"790",51,2.76636772128372,3.827,0.893,24.881
"791",22,1.97050388810764,1.201,0.277,20.728
"792",46,2.14670616868386,3.372,0.177,27.126
"793",160,2.78163970321591,5.314,0.058,53.232
"794",29,2.40758188269282,3.028,0.782,18.667
"795",133,2.76804080856766,5.104,0.858,44.707
"796",55,2.80060621292797,4.371,0.631,26.075
"797",46,2.11379176535208,2.458,0.358,30.673
"798",66,2.22332075453543,3.564,0.383,37.977
"799",24,2.16417485314525,2.893,0.333,16.678
"8",22,2.02080943771175,2.051,0.102,17.294
"80",108,2.14949348506555,2.298,0.13,74.032
"800",84,2.2259640105893,4.893,0.639,39.184
"801",30,1.65705590402277,1.39,0.063,28.076
"802",94,1.95164831639517,2.437,0.944,63.782
"803",123,2.16477828040011,2.302,0.068,78.621
"804",93,2.28105869227188,3.309,0.15,48.957
"805",108,2.4727989916136,4.956,0.081,42.272
"806",63,2.23572671336031,2.954,0.025,34.275
"807",10,1.88077933378154,1.705,0.216,9.21975806451613
"808",31,2.34309305891375,2.217,0.329,20.649
"809",71,2.04714446265773,2.389,0.313,49.438
"81",63,2.10787036516293,2.394,0.748,45.607
"810",54,2.2777380245309,2.385,0.844,38.197
"811",139,2.30420635393388,3.462,0.543,74.594
"812",88,2.26300478468476,2.982,0.216,44.544
"813",379,2.70440048076314,7.79,0.229,82.176
"814",78,2.05484751070991,3.035,0.06,43.223
"815",78,2.32701945695299,2.288,0.477,46.164
"816",25,2.13397506097957,1.144,0.52,23.7267267267267
"817",92,1.9574238198679,2.365,0.184,59.347
"818",92,2.23410627370265,4.22,0.537,43.989
"819",51,2.11811937139438,2.279,0.651,33.63
"82",10,1.99224503207978,3.118,0.27,8.468
"820",22,1.97789847020879,1.267,0.386,20.485
"821",46,1.64262712206497,1.302,0.145,43.11
"822",160,2.0973620413694,2.274,0.015,109.224
"823",29,2.57629286177515,4.756,0.112,16.073
"824",133,2.3356323814809,3.103,0.634,64.437
"825",55,2.23121675981846,2.313,0.298,36.939
"826",46,2.50509135880929,3.062,0.734,25.222
"827",66,2.38156695269118,3.706,0.496,35.022
"828",24,2.22536034314212,2.498,0.133,20.016
"829",84,2.37312181091282,3.277,0.543,42.37
"83",31,2.35383374224887,3.153,0.824,18.972
"830",30,2.63099301359535,2.633,0.499,18.144
"831",94,3.96448414393697,5.705,0.215,27.416
"832",123,2.65905356455879,4.713,0.379,45.132
"833",93,2.14735034059951,3.548,0.783,46.609
"834",108,2.71012039135862,4.43,0.493,42.244
"835",63,2.26421646981775,3.371,0.253,34.083
"836",10,1.93601720116592,1.047,0.43,9.80377906976744
"837",31,2.98321020077435,4.012,0.546,16.527
"838",71,1.96330060899667,2.528,0.16,47.697
"839",54,2.40874062647718,4.276,0.034,26.51
"84",71,2.16966940417673,2.355,0.505,44.952
"840",139,2.12017587500764,3.391,0.06,69.066
"841",88,2.34634433720386,2.896,0.608,47.444
"842",379,2.18451392885591,4.456,0.001,143.81
"843",78,2.54188329484206,4.527,0.829,33.535
"844",78,2.41868403299067,4.016,0.561,37.571
"845",25,2.52930277049799,3.103,0.675,16.842
"846",92,2.424083733002,3.258,0.549,46.683
"847",92,2.41118445782298,5.982,0.126,38.041
"848",51,2.54944161485844,3.841,0.558,25.093
"849",22,1.73235860220626,1.453,0.135,20.34
"85",54,2.4026690968539,4.162,0.251,27.397
"850",46,2.08249316395492,2.351,0.022,33.176
"851",160,1.92353548726021,2.407,0.013,102.667
"852",29,2.59112243532912,3.965,0.406,18.826
"853",133,2.38264935459643,3.121,0.681,60.577
"854",55,2.52673320524698,3.418,0.477,31.207
"855",46,2.97146585680173,3.668,0.545,23.028
"856",66,2.90765262839242,4.717,0.612,28.272
"857",24,2.52480731217184,2.266,0.288,16.482
