"subsample","n_total","alpha","xmin","p","n_tail"
"173",13,2.09465665128751,2.36,0.305,10.4234234234234
"174",18,1.80469342144091,1.479,0.223,16.499
"175",50,2.16411053843619,2.456,0.952,31.434
"176",8,1.87403705644977,1.385,0.086,7.55376344086022
"177",46,2.07533338715087,2.421,0.637,31.456
"178",26,2.31776186739811,2.447,0.652,19.132
"179",70,2.26569943499087,3.41,0.767,41.104
"18",70,1.80750505702854,2.424,0.01,47.686
"180",13,1.98306441240848,1.292,0.217,12.145896656535
"181",18,1.96710750876636,1.286,0.457,16.7424849699399
"182",50,1.72645252628731,2.096,0.062,39.261
"183",8,2.42205517069169,1.866,0.409,6.70286885245902
"184",46,3.359473151932,7.363,0.899,21.437
"185",26,2.19699859885086,2.204,0.872,18.562
"186",70,3.52153602648559,6.024,0.711,26.424
"187",13,3.7117827658241,4.616,0.419,8.052
"188",18,1.81272300694257,1.424,0.037,16.607
"189",50,2.74696632494185,4.337,0.199,23.82
"19",13,2.43522479101049,2.505,0.61,9.71
"190",8,2.18197228917751,2.45,0.07,6.8937875751503
"191",46,2.24438678975713,5.871,0.387,22.138
"192",26,1.6309457609242,1.459,0.241,24.167
"193",70,2.43750630280115,2.97,0.27,35.976
"194",13,2.55339324057682,1.67,0.155,10.2828077314344
"195",18,2.90778372435913,2.953,0.462,11.3186372745491
"196",50,1.93063116741581,2.486,0.063,35.177
"197",8,1.7196632032721,1.92,0.681,7.43377148634985
"198",46,1.94745234849296,2.405,0.245,31.726
"199",26,2.15105387090042,2.12,0.554,18.871
"2",46,3.10942046342423,5.67,0.324,22.132
"20",18,2.46909177836894,2.839,0.425,12.3103103103103
"200",70,2.09187957526504,2.382,0.151,46.08
"201",13,2.55307271109885,2.242,0.698,9.89267803410231
"202",18,2.31156199157764,2.52,0.819,14.633
"203",50,2.1472710977732,2.374,0.662,35.691
"204",8,1.9748957590085,3.389,0.26,7.30730730730731
"205",46,2.18759337904612,2.616,0.884,28.496
"206",26,2.22949601504995,2.188,0.743,18.39
"207",70,3.3074041046075,5.531,0.205,25.184
"208",13,1.78506455188588,1.507,0.663,12.0150300601202
"209",18,2.54599404086115,3.945,0.616,12.333
"21",50,2.43055785979788,2.916,0.08,27.568
"210",50,2.025015261369,2.433,0.501,34.291
"211",8,1.69767205039298,1.032,0.69,7.8485401459854
"212",46,2.09810753816777,2.313,0.59,30.969
"213",26,1.69424579530178,1.364,0.053,24.31
"214",70,2.14846486589523,2.311,0.352,43.885
"215",13,3.0029458339252,4.009,0.295,8.622
"216",18,2.39378509582503,2.366,0.382,13.362
"217",50,1.82852411082287,1.783,0.77,39.274
"218",8,2.24779140916308,1.562,0.522,6.97715472481828
"219",46,1.94823085526792,2.468,0.739,32.467
"22",8,1.90131566195496,1.487,0.076,7.49209694415174
"220",26,3.03000355658204,3.834,0.592,14.061
"221",70,2.23288172954192,3.265,0.518,44.497
"222",13,2.83452051909825,2.099,0.878,9.71285140562249
"223",18,2.46315883268275,2.291,0.252,12.927
"224",50,1.88019041868131,3.089,0.513,32.475
"225",8,2.24852003597828,1.632,0.602,7.21772428884026
"226",46,1.79964350390959,1.157,0.23,43.758
"227",26,2.01995857093322,2.487,0.226,19.253
"228",70,2.53253051379405,3.843,0.038,32.681
